logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,破線ペイント情報数,破線ペイント情報数,ライン型地物ID,破線ペイント情報数,破線ペイント情報数,破線ペイント情報[0],破線ペイント情報[1],破線ペイント情報[2],破線ペイント情報[3],破線ペイント情報[4],破線ペイント情報[5],破線ペイント情報[6],破線ペイント情報[7],破線ペイント情報[8],破線ペイント情報[9],破線ペイント情報[10]
5815,0x3fbbb,False,285,2373538,2379470,7,2,7,1.7488013864825285e+18,2,7,1,2,1,2,1,2,1,,,,
5815,0x3fbbb,False,285,2373538,2379470,7,2,7,1.7488013864825285e+18,2,7,1,2,1,2,1,2,1,,,,
43208,0x3fbfb,False,292,2373538,2379470,7,2,7,1.7488013864825285e+18,2,7,1,2,1,2,1,2,1,,,,
43208,0x3fbfb,False,292,2373538,2379470,7,2,7,1.7488013864825285e+18,2,7,1,2,1,2,1,2,1,,,,
72424,0x3fc0f,False,285,2379470,2387488,7,2,9,1.7488013864825285e+18,2,9,1,2,1,2,1,2,1,2,1,,
72424,0x3fc0f,False,285,2379470,2387488,7,2,9,1.7488013864825285e+18,2,9,1,2,1,2,1,2,1,2,1,,
109603,0x3fc27,False,292,2379470,2387488,7,2,9,1.7488013864825285e+18,2,9,1,2,1,2,1,2,1,2,1,,
109603,0x3fc27,False,292,2379470,2387488,7,2,9,1.7488013864825285e+18,2,9,1,2,1,2,1,2,1,2,1,,
206181,0x3fc77,False,285,2387488,2393487,7,2,7,1.7488013864825288e+18,2,7,1,2,1,2,1,2,,1,,,
206181,0x3fc77,False,285,2387488,2393487,7,2,7,1.7488013864825288e+18,2,7,1,2,1,2,1,2,,1,,,
209726,0x3fc82,False,292,2387488,2393487,7,2,7,1.7488013864825288e+18,2,7,1,2,1,2,1,2,,1,,,
209726,0x3fc82,False,292,2387488,2393487,7,2,7,1.7488013864825288e+18,2,7,1,2,1,2,1,2,,1,,,
272720,0x3fcc5,False,285,2393487,2401480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
272720,0x3fcc5,False,285,2393487,2401480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
310900,0x3fcdc,False,292,2393487,2401480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
310900,0x3fcdc,False,292,2393487,2401480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
405943,0x3fd2b,False,285,2401480,2409461,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
405943,0x3fd2b,False,285,2401480,2409461,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
409482,0x3fd36,False,292,2401480,2409461,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
409482,0x3fd36,False,292,2401480,2409461,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
506388,0x3fd87,False,285,2409461,2417460,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
506388,0x3fd87,False,285,2409461,2417460,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
510192,0x3fd92,False,292,2409461,2417460,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
510192,0x3fd92,False,292,2409461,2417460,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
606983,0x3fde5,False,285,2417460,2425265,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,,2,1,
606983,0x3fde5,False,285,2417460,2425265,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,,2,1,
610132,0x3fdf1,False,292,2417460,2425265,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,,2,1,
610132,0x3fdf1,False,292,2417460,2425265,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,,2,1,
706825,0x3fe2f,False,285,2425265,2432609,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,,2,1,2,1,
706825,0x3fe2f,False,285,2425265,2432609,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,,1,2,1,2,1,
743784,0x3fe82,False,292,2425265,2432609,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,,2,1,2,1,
743784,0x3fe82,False,292,2425265,2432609,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,,1,2,1,2,1,
811770,0x3fecb,False,292,2432609,2440520,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
811770,0x3fecb,False,292,2432609,2440520,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
840240,0x3ff0c,False,285,2432609,2440520,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
840240,0x3ff0c,False,285,2432609,2440520,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
940224,0x3ff75,False,285,2440520,2448488,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
940224,0x3ff75,False,285,2440520,2448488,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
978159,0x3ffb4,False,292,2440520,2448488,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
978159,0x3ffb4,False,292,2440520,2448488,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1006422,0x4000d,False,285,2448488,2456494,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,,1,
1006422,0x4000d,False,285,2448488,2456494,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,,1,
1043499,0x4006e,False,292,2448488,2456494,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,,1,
1043499,0x4006e,False,292,2448488,2456494,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,,1,
1139510,0x40139,False,285,2456494,2464480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1139510,0x40139,False,285,2456494,2464480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1176561,0x40176,False,292,2456494,2464480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1176561,0x40176,False,292,2456494,2464480,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1239569,0x4021f,False,285,2464480,2472502,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1239569,0x4021f,False,285,2464480,2472502,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1276121,0x40266,False,292,2464480,2472502,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1276121,0x40266,False,292,2464480,2472502,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1306050,0x402b5,False,285,2472502,2480458,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1306050,0x402b5,False,285,2472502,2480458,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1342410,0x402cd,False,292,2472502,2480458,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1342410,0x402cd,False,292,2472502,2480458,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1438312,0x40321,False,285,2480458,2488515,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1438312,0x40321,False,285,2480458,2488515,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1442012,0x4032d,False,292,2480458,2488515,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1442012,0x4032d,False,292,2480458,2488515,7,2,9,1.7488013864825288e+18,2,9,1,2,1,2,1,2,1,2,1,,
1538152,0x4036b,False,285,2488515,2496506,7,2,9,1.748801386482529e+18,2,9,1,2,,1,2,1,,2,1,2,1
1538152,0x4036b,False,285,2488515,2496506,7,2,9,1.748801386482529e+18,2,9,1,2,,1,2,,1,2,1,2,1
1541583,0x40376,False,292,2488515,2496506,7,2,9,1.748801386482529e+18,2,9,1,2,,1,2,1,,2,1,2,1
