logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.11477662718733,139.63579732450557,53.32
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.114807137314884,139.63578424873663,83886.07
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.11482323056898,139.6357775432141,53.28
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.114852734868144,139.63576413216902,53.26
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.11487754530154,139.63575373860908,53.25
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.114922137026426,139.6357339573176,53.2
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.114964717094544,139.63571551713062,53.17
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.115008973543304,139.63569607111526,53.13
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,4,0,9,36.11504719502177,139.63567897203276,53.09
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,20,0,5,36.114788026575646,139.6358348754318,53.38
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,20,0,5,36.114807137314884,139.63582682880477,83886.07
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,20,0,5,36.114889279965986,139.6357912895353,53.3
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,20,0,5,36.1149566704675,139.63576212051225,53.24
36989,0x3a908,False,285,858733,861908,7,6,1.7488013864825147e+18,20,0,5,36.115056582753326,139.6357178640635,53.14
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11476858056029,139.63576849075866,53.22
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11478098577698,139.63576346161676,53.21
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.114807137314884,139.63575206222845,83886.07
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11481954253158,139.63574669781042,53.19
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.114858769838435,139.63572959872795,53.17
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11489732659303,139.63571249964548,53.14
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.114937224452135,139.635695400563,53.11
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11495130604947,139.6356890303166,53.1
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11499824470724,139.63566857847283,53.06
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.114998579983364,139.63566723736832,53.06
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11499891525949,139.63566589626382,53.06
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11499891525949,139.6356645551593,53.06
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,13,36.11503814256635,139.6356471208007,53.01
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,7,36.11481283700904,139.63592305305318,53.57
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,7,36.11485608762942,139.63590427759007,53.54
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,7,36.114901014630426,139.6358844962986,53.5
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,7,36.11493454224312,139.635869744149,53.47
36989,0x3a908,False,285,858733,861908,7,6,1.7488013870193856e+18,0,0,7,36.11499925053562,139.6358409104021,53.41
