logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
36989,0x3a907,False,285,858733,861908,7,6,1.7488013864825147e+18,-1,532.0,197.0,3221291776.0,1,0,20,20
36989,0x3a907,False,285,858733,861908,7,6,1.7488013864825147e+18,-1,692.0,196.0,3221291520.0,2,0,15,15
36989,0x3a907,False,285,858733,861908,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
36989,0x3a907,False,285,858733,861908,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
36989,0x3a907,False,285,858733,861908,7,6,1.7488013864825147e+18,-1,693.0,196.0,3221291520.0,2,0,15,15
36989,0x3a907,False,285,858733,861908,7,6,1.7488013864825147e+18,-1,687.0,203.0,3221291776.0,1,0,20,20
40285,0x3a912,False,292,858733,861908,7,6,1.7488013864825147e+18,-1,532.0,197.0,3221291776.0,1,0,20,20
40285,0x3a912,False,292,858733,861908,7,6,1.7488013864825147e+18,-1,692.0,196.0,3221291520.0,2,0,15,15
40285,0x3a912,False,292,858733,861908,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
40285,0x3a912,False,292,858733,861908,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
40285,0x3a912,False,292,858733,861908,7,6,1.7488013864825147e+18,-1,693.0,196.0,3221291520.0,2,0,15,15
40285,0x3a912,False,292,858733,861908,7,6,1.7488013864825147e+18,-1,687.0,203.0,3221291776.0,1,0,20,20
70662,0x3a937,False,285,861908,869787,7,6,1.7488013864825147e+18,-1,627.0,197.0,3221291776.0,1,0,20,20
70662,0x3a937,False,285,861908,869787,7,6,1.7488013864825147e+18,-1,753.0,198.0,3221291520.0,2,0,15,15
70662,0x3a937,False,285,861908,869787,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
70662,0x3a937,False,285,861908,869787,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
70662,0x3a937,False,285,861908,869787,7,6,1.7488013864825147e+18,-1,751.0,211.0,3221291520.0,2,0,15,15
70662,0x3a937,False,285,861908,869787,7,6,1.7488013864825147e+18,-1,756.0,215.0,3221291776.0,1,0,20,20
74004,0x3a942,False,292,861908,869787,7,6,1.7488013864825147e+18,-1,627.0,197.0,3221291776.0,1,0,20,20
74004,0x3a942,False,292,861908,869787,7,6,1.7488013864825147e+18,-1,753.0,198.0,3221291520.0,2,0,15,15
74004,0x3a942,False,292,861908,869787,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
74004,0x3a942,False,292,861908,869787,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
74004,0x3a942,False,292,861908,869787,7,6,1.7488013864825147e+18,-1,751.0,211.0,3221291520.0,2,0,15,15
74004,0x3a942,False,292,861908,869787,7,6,1.7488013864825147e+18,-1,756.0,215.0,3221291776.0,1,0,20,20
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013864825147e+18,-1,634.0,196.0,3221291776.0,1,0,20,20
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013864825147e+18,-1,706.0,197.0,3221291520.0,2,0,15,15
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013864825147e+18,-1,764.0,211.0,3221291520.0,2,0,15,15
170184,0x3a99c,False,285,869787,877797,7,6,1.7488013864825147e+18,-1,763.0,215.0,3221291776.0,1,0,20,20
207207,0x3a9bc,False,292,869787,877797,7,6,1.7488013864825147e+18,-1,634.0,196.0,3221291776.0,1,0,20,20
