logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,路肩幅員情報数,形状要素インデックス,左側路肩幅員値[cm],右側路肩幅員値[cm]
36989,0x3a90c,False,285,858733,861908,7,3,0,274,0
36989,0x3a90c,False,285,858733,861908,7,3,2,274,0
36989,0x3a90c,False,285,858733,861908,7,3,3,274,0
36989,0x3a90c,False,285,858733,861908,7,3,4,274,0
36989,0x3a90c,False,285,858733,861908,7,3,5,273,0
36989,0x3a90c,False,285,858733,861908,7,3,6,275,0
36989,0x3a90c,False,285,858733,861908,7,3,7,305,0
36989,0x3a90c,False,285,858733,861908,7,3,8,276,0
36989,0x3a90c,False,285,858733,861908,7,3,0,0,90
36989,0x3a90c,False,285,858733,861908,7,3,2,0,88
36989,0x3a90c,False,285,858733,861908,7,3,3,0,84
36989,0x3a90c,False,285,858733,861908,7,3,4,0,82
36989,0x3a90c,False,285,858733,861908,7,3,5,0,80
36989,0x3a90c,False,285,858733,861908,7,3,6,0,76
36989,0x3a90c,False,285,858733,861908,7,3,7,0,70
36989,0x3a90c,False,285,858733,861908,7,3,8,0,67
40285,0x3a917,False,292,858733,861908,7,3,0,274,0
40285,0x3a917,False,292,858733,861908,7,3,2,274,0
40285,0x3a917,False,292,858733,861908,7,3,3,274,0
40285,0x3a917,False,292,858733,861908,7,3,4,274,0
40285,0x3a917,False,292,858733,861908,7,3,5,273,0
40285,0x3a917,False,292,858733,861908,7,3,6,275,0
40285,0x3a917,False,292,858733,861908,7,3,7,305,0
40285,0x3a917,False,292,858733,861908,7,3,8,276,0
40285,0x3a917,False,292,858733,861908,7,3,0,0,90
40285,0x3a917,False,292,858733,861908,7,3,2,0,88
40285,0x3a917,False,292,858733,861908,7,3,3,0,84
40285,0x3a917,False,292,858733,861908,7,3,4,0,82
40285,0x3a917,False,292,858733,861908,7,3,5,0,80
40285,0x3a917,False,292,858733,861908,7,3,6,0,76
40285,0x3a917,False,292,858733,861908,7,3,7,0,70
40285,0x3a917,False,292,858733,861908,7,3,8,0,67
70662,0x3a93c,False,285,861908,869787,7,3,0,276,0
70662,0x3a93c,False,285,861908,869787,7,3,1,277,0
70662,0x3a93c,False,285,861908,869787,7,3,2,277,0
70662,0x3a93c,False,285,861908,869787,7,3,3,282,0
70662,0x3a93c,False,285,861908,869787,7,3,4,285,0
70662,0x3a93c,False,285,861908,869787,7,3,5,281,0
70662,0x3a93c,False,285,861908,869787,7,3,6,283,0
70662,0x3a93c,False,285,861908,869787,7,3,7,289,0
70662,0x3a93c,False,285,861908,869787,7,3,8,289,0
70662,0x3a93c,False,285,861908,869787,7,3,9,288,0
70662,0x3a93c,False,285,861908,869787,7,3,10,289,0
70662,0x3a93c,False,285,861908,869787,7,3,11,289,0
70662,0x3a93c,False,285,861908,869787,7,3,12,288,0
