logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,標識情報数,標識情報ID,MMS測位誤差[mm],レーザー測位誤差[mm],標識情報種別,標識付加属性フラグ,3D地物付加属性フラグ,座標1_緯度[deg],座標1_経度[deg],座標1_楕円体高[cm],座標2_緯度[deg],座標2_経度[deg],座標2_楕円体高[cm],高さ(地物の縦幅)[cm],地上高さ[cm],最高速度値[km/h],補助標識分類
5815,0x3fbbc,False,285,2373538,2379470,7,1,1.748801389166883e+18,427,135,3305178368.0,128,0,36.23401054093475,139.57441329480486,6807,36.23400785872573,139.5744236883648,6807,140,527,0,65535
43208,0x3fbfc,False,292,2373538,2379470,7,1,1.748801389166883e+18,427,135,3305178368.0,128,0,36.23401054093475,139.57441329480486,6807,36.23400785872573,139.5744236883648,6807,140,527,0,65535
72424,0x3fc10,False,285,2379470,2387488,7,1,1.748801389166883e+18,409,133,3305314048.0,192,1,36.234533236416645,139.57455411077817,6798,36.23453189531214,139.57456383378585,6798,90,566,0,4
109603,0x3fc28,False,292,2379470,2387488,7,1,1.748801389166883e+18,409,133,3305314048.0,192,1,36.234533236416645,139.57455411077817,6798,36.23453189531214,139.57456383378585,6798,90,566,0,4
606983,0x3fde6,False,285,2417460,2425265,7,3,1.7488013891668833e+18,279,119,3305440000.0,128,0,36.23840332874991,139.57561324806315,6529,36.23839829960801,139.57564007015333,6529,130,505,0,65535
606983,0x3fde6,False,285,2417460,2425265,7,3,1.7488013891668833e+18,448,145,3305440000.0,128,0,36.23839628795125,139.57565146954164,6529,36.23839092353322,139.57567862690792,6529,130,514,0,65535
606983,0x3fde6,False,285,2417460,2425265,7,3,1.7488013891668833e+18,448,148,3305440000.0,128,0,36.23838857660033,139.5756933790575,6529,36.23838354745842,139.57572120697603,6529,130,524,0,65535
610132,0x3fdf2,False,292,2417460,2425265,7,3,1.7488013891668833e+18,279,119,3305440000.0,128,0,36.23840332874991,139.57561324806315,6529,36.23839829960801,139.57564007015333,6529,130,505,0,65535
610132,0x3fdf2,False,292,2417460,2425265,7,3,1.7488013891668833e+18,448,145,3305440000.0,128,0,36.23839628795125,139.57565146954164,6529,36.23839092353322,139.57567862690792,6529,130,514,0,65535
610132,0x3fdf2,False,292,2417460,2425265,7,3,1.7488013891668833e+18,448,148,3305440000.0,128,0,36.23838857660033,139.5756933790575,6529,36.23838354745842,139.57572120697603,6529,130,524,0,65535
1306050,0x402b6,False,285,2472502,2480458,7,1,1.7488013891668833e+18,303,133,3305178368.0,128,0,36.24268212268191,139.57747838915733,6442,36.24267809936839,139.57748844744114,6442,145,514,0,65535
1342410,0x402ce,False,292,2472502,2480458,7,1,1.7488013891668833e+18,303,133,3305178368.0,128,0,36.24268212268191,139.57747838915733,6442,36.24267809936839,139.57748844744114,6442,145,514,0,65535
1438312,0x40322,False,285,2480458,2488515,7,2,1.7488013891668833e+18,256,131,3305314048.0,192,1,36.243212529514736,139.57782808215774,6473,36.24320951202959,139.57783713461316,6473,90,557,0,4
1438312,0x40322,False,285,2480458,2488515,7,2,1.7488013891668836e+18,194,187,3305316352.0,128,0,36.243397601936806,139.57814458282155,6101,36.24339424917554,139.57815430582923,6101,85,195,0,65535
1442012,0x4032e,False,292,2480458,2488515,7,2,1.7488013891668833e+18,256,131,3305314048.0,192,1,36.243212529514736,139.57782808215774,6473,36.24320951202959,139.57783713461316,6473,90,557,0,4
1442012,0x4032e,False,292,2480458,2488515,7,2,1.7488013891668836e+18,194,187,3305316352.0,128,0,36.243397601936806,139.57814458282155,6101,36.24339424917554,139.57815430582923,6101,85,195,0,65535
