logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,勾配情報のレーン数,形状インデックス,縦断勾配値[%],横断勾配値[%],精度情報
36989,0x3a90b,False,285,858733,861908,7,3,0,-0.59,1.7,65535
36989,0x3a90b,False,285,858733,861908,7,3,2,-0.65,1.62,65535
36989,0x3a90b,False,285,858733,861908,7,3,3,-0.67,1.56,65535
36989,0x3a90b,False,285,858733,861908,7,3,4,-0.6900000000000001,1.5,65535
36989,0x3a90b,False,285,858733,861908,7,3,5,-0.72,1.51,65535
36989,0x3a90b,False,285,858733,861908,7,3,6,-0.76,1.37,65535
36989,0x3a90b,False,285,858733,861908,7,3,7,-0.88,1.42,65535
36989,0x3a90b,False,285,858733,861908,7,3,8,-1.06,1.35,65535
36989,0x3a90b,False,285,858733,861908,7,3,0,-0.67,2.39,65535
36989,0x3a90b,False,285,858733,861908,7,3,2,-0.7000000000000001,2.38,65535
36989,0x3a90b,False,285,858733,861908,7,3,3,-0.71,2.37,65535
36989,0x3a90b,False,285,858733,861908,7,3,4,-0.72,2.33,65535
36989,0x3a90b,False,285,858733,861908,7,3,5,-0.76,2.25,65535
36989,0x3a90b,False,285,858733,861908,7,3,6,-0.8,2.23,65535
36989,0x3a90b,False,285,858733,861908,7,3,7,-0.88,2.21,65535
36989,0x3a90b,False,285,858733,861908,7,3,8,-1.05,2.29,65535
36989,0x3a90b,False,285,858733,861908,7,3,0,-0.67,2.66,65535
36989,0x3a90b,False,285,858733,861908,7,3,2,-0.72,2.61,65535
36989,0x3a90b,False,285,858733,861908,7,3,3,-0.73,2.5300000000000002,65535
36989,0x3a90b,False,285,858733,861908,7,3,4,-0.74,2.6,65535
36989,0x3a90b,False,285,858733,861908,7,3,5,-0.77,2.6,65535
36989,0x3a90b,False,285,858733,861908,7,3,6,-0.79,2.71,65535
36989,0x3a90b,False,285,858733,861908,7,3,7,-0.86,2.69,65535
36989,0x3a90b,False,285,858733,861908,7,3,8,-1.02,2.79,65535
40285,0x3a916,False,292,858733,861908,7,3,0,-0.59,1.7,65535
40285,0x3a916,False,292,858733,861908,7,3,2,-0.65,1.62,65535
40285,0x3a916,False,292,858733,861908,7,3,3,-0.67,1.56,65535
40285,0x3a916,False,292,858733,861908,7,3,4,-0.6900000000000001,1.5,65535
40285,0x3a916,False,292,858733,861908,7,3,5,-0.72,1.51,65535
40285,0x3a916,False,292,858733,861908,7,3,6,-0.76,1.37,65535
40285,0x3a916,False,292,858733,861908,7,3,7,-0.88,1.42,65535
40285,0x3a916,False,292,858733,861908,7,3,8,-1.06,1.35,65535
40285,0x3a916,False,292,858733,861908,7,3,0,-0.67,2.39,65535
40285,0x3a916,False,292,858733,861908,7,3,2,-0.7000000000000001,2.38,65535
40285,0x3a916,False,292,858733,861908,7,3,3,-0.71,2.37,65535
40285,0x3a916,False,292,858733,861908,7,3,4,-0.72,2.33,65535
40285,0x3a916,False,292,858733,861908,7,3,5,-0.76,2.25,65535
40285,0x3a916,False,292,858733,861908,7,3,6,-0.8,2.23,65535
40285,0x3a916,False,292,858733,861908,7,3,7,-0.88,2.21,65535
40285,0x3a916,False,292,858733,861908,7,3,8,-1.05,2.29,65535
40285,0x3a916,False,292,858733,861908,7,3,0,-0.67,2.66,65535
40285,0x3a916,False,292,858733,861908,7,3,2,-0.72,2.61,65535
40285,0x3a916,False,292,858733,861908,7,3,3,-0.73,2.5300000000000002,65535
40285,0x3a916,False,292,858733,861908,7,3,4,-0.74,2.6,65535
40285,0x3a916,False,292,858733,861908,7,3,5,-0.77,2.6,65535
40285,0x3a916,False,292,858733,861908,7,3,6,-0.79,2.71,65535
