logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,à‹ìx[deg],åoìx[deg],ë»â~ëÃçÇ[cm]
5815,0x3fbb6,False,285,2373538,2379470,7,36.23395354399317,139.57444950462656,6295
43208,0x3fbf6,False,292,2373538,2379470,7,36.23395354399317,139.57444950462656,6295
72424,0x3fc0a,False,285,2379470,2387488,7,36.23447959223633,139.57458663256247,6250
109603,0x3fc22,False,292,2379470,2387488,7,36.23447959223633,139.57458663256247,6250
206181,0x3fc72,False,285,2387488,2393487,7,36.2351823309984,139.574764999462,6204
209726,0x3fc7d,False,292,2387488,2393487,7,36.2351823309984,139.574764999462,6204
272720,0x3fcc0,False,285,2393487,2401480,7,36.23571642586862,139.5748991099128,6168
310900,0x3fcd7,False,292,2393487,2401480,7,36.23571642586862,139.5748991099128,6168
405943,0x3fd26,False,285,2401480,2409461,7,36.23642017045906,139.5750761357078,6115
409482,0x3fd31,False,292,2401480,2409461,7,36.23642017045906,139.5750761357078,6115
506388,0x3fd82,False,285,2409461,2417460,7,36.23712391504951,139.57525852592087,6063
510192,0x3fd8d,False,292,2409461,2417460,7,36.23712391504951,139.57525852592087,6063
606983,0x3fde0,False,285,2417460,2425265,7,36.23782598325932,139.57545466245512,6033
610132,0x3fdec,False,292,2417460,2425265,7,36.23782598325932,139.57545466245512,6033
706825,0x3fe2a,False,285,2425265,2432609,7,36.23851195821504,139.57566152782545,6014
743784,0x3fe7d,False,292,2425265,2432609,7,36.23851195821504,139.57566152782545,6014
811770,0x3fec6,False,292,2432609,2440520,7,36.2391499886846,139.5758724165093,5991
840240,0x3ff07,False,285,2432609,2440520,7,36.2391499886846,139.5758724165093,5991
940224,0x3ff70,False,285,2440520,2448488,7,36.239835963640324,139.57612219722387,5968
978159,0x3ffaf,False,292,2440520,2448488,7,36.239835963640324,139.57612219722387,5968
1006422,0x40008,False,285,2448488,2456494,7,36.24051992693928,139.5763991353047,5956
1043499,0x40069,False,292,2448488,2456494,7,36.24051992693928,139.5763991353047,5956
1139510,0x40134,False,285,2456494,2464480,7,36.24119617888732,139.57671228320726,5934
1176561,0x40171,False,292,2456494,2464480,7,36.24119617888732,139.57671228320726,5934
1239569,0x4021a,False,285,2464480,2472502,7,36.241861366723164,139.57705527068512,5930
1276121,0x40261,False,292,2464480,2472502,7,36.241861366723164,139.57705527068512,5930
1306050,0x402b0,False,285,2472502,2480458,7,36.24251750210359,139.57743413270856,5917
1342410,0x402c8,False,292,2472502,2480458,7,36.24251750210359,139.57743413270856,5917
1438312,0x4031c,False,285,2480458,2488515,7,36.24315586784928,139.57784048737443,5905
1442012,0x40328,False,292,2480458,2488515,7,36.24315586784928,139.57784048737443,5905
1538152,0x40366,False,285,2488515,2496506,7,36.24378685752018,139.57828439296648,5895
1541583,0x40371,False,292,2488515,2496506,7,36.24378685752018,139.57828439296648,5895
1637275,0x403d2,False,285,2496506,2504496,7,36.244399407004096,139.57875478537258,5884
1706887,0x40407,False,292,2496506,2504496,7,36.244399407004096,139.57875478537258,5884
1768621,0x40438,False,285,2504496,2512527,7,36.244996869062305,139.57925602318235,5882
1772188,0x40443,False,292,2504496,2512527,7,36.244996869062305,139.57925602318235,5882
1868480,0x40494,False,285,2512527,2520535,7,36.24558125535156,139.57978710056744,5864
1905409,0x404ab,False,292,2512527,2520535,7,36.24558125535156,139.57978710056744,5864
