logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013864825285e+18,-1,441.0,193.0,3221291776.0,1,0,20,20
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013864825285e+18,-1,447.0,194.0,3221291520.0,2,0,15,15
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013864825285e+18,-1,462.0,214.0,3221291520.0,2,0,15,15
5815,0x3fbb9,False,285,2373538,2379470,7,6,1.7488013864825285e+18,-1,455.0,218.0,3221291776.0,1,0,20,20
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013864825285e+18,-1,441.0,193.0,3221291776.0,1,0,20,20
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013864825285e+18,-1,447.0,194.0,3221291520.0,2,0,15,15
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013864825285e+18,-1,462.0,214.0,3221291520.0,2,0,15,15
43208,0x3fbf9,False,292,2373538,2379470,7,6,1.7488013864825285e+18,-1,455.0,218.0,3221291776.0,1,0,20,20
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013864825285e+18,-1,399.0,190.0,3221291776.0,1,0,20,20
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013864825285e+18,-1,428.0,193.0,3221291520.0,2,48,15,15
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013864825285e+18,-1,445.0,214.0,3221291520.0,2,48,15,15
72424,0x3fc0d,False,285,2379470,2387488,7,6,1.7488013864825285e+18,-1,447.0,219.0,3221291776.0,1,16,20,20
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013864825285e+18,-1,399.0,190.0,3221291776.0,1,0,20,20
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013864825285e+18,-1,428.0,193.0,3221291520.0,2,48,15,15
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013870193994e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013864825285e+18,-1,445.0,214.0,3221291520.0,2,48,15,15
109603,0x3fc25,False,292,2379470,2387488,7,6,1.7488013864825285e+18,-1,447.0,219.0,3221291776.0,1,16,20,20
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013864825288e+18,-1,358.0,186.0,3221291776.0,1,32,20,20
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013864825288e+18,-1,385.0,189.0,3221291520.0,2,48,15,15
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013864825288e+18,-1,457.0,213.0,3221291520.0,2,48,15,15
206181,0x3fc75,False,285,2387488,2393487,7,6,1.7488013864825288e+18,-1,461.0,217.0,3221291776.0,1,16,20,20
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013864825288e+18,-1,358.0,186.0,3221291776.0,1,32,20,20
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013864825288e+18,-1,385.0,189.0,3221291520.0,2,48,15,15
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013864825288e+18,-1,457.0,213.0,3221291520.0,2,48,15,15
209726,0x3fc80,False,292,2387488,2393487,7,6,1.7488013864825288e+18,-1,461.0,217.0,3221291776.0,1,16,20,20
272720,0x3fcc3,False,285,2393487,2401480,7,6,1.7488013864825288e+18,-1,338.0,185.0,3221291776.0,1,32,20,20
272720,0x3fcc3,False,285,2393487,2401480,7,6,1.7488013864825288e+18,-1,322.0,184.0,3221291520.0,2,48,15,15
272720,0x3fcc3,False,285,2393487,2401480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
272720,0x3fcc3,False,285,2393487,2401480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
272720,0x3fcc3,False,285,2393487,2401480,7,6,1.7488013864825288e+18,-1,471.0,213.0,3221291520.0,2,48,15,15
