logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,曲率情報のレーン数,形状インデックス,方位角[deg],曲率値[1/m]
83089,0x18712,False,255,2443545,2458538,15,4,0,28.75,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,1,29.330000000000002,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,2,29.900000000000002,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,3,30.48,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,4,31.060000000000002,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,5,31.62,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,6,32.19,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,7,32.76,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,8,33.35,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,9,33.62,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,10,33.89,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,11,33.95,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,12,34.09,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,13,34.35,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,14,34.550000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,15,34.61,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,16,35.1,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,17,36.17,-0.0009
83089,0x18712,False,255,2443545,2458538,15,4,18,36.44,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,19,36.67,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,20,36.800000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,21,36.93,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,22,37.19,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,23,37.39,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,24,38.0,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,25,38.2,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,0,28.82,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,1,29.39,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,2,29.94,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,3,30.5,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,4,31.060000000000002,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,5,31.62,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,6,32.18,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,7,32.730000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,8,33.3,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,9,33.56,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,10,33.82,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,11,33.89,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,12,34.02,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,13,34.28,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,14,34.480000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,15,34.54,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,16,35.050000000000004,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,17,36.24,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,18,36.54,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,19,36.78,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,20,36.9,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,21,37.03,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,22,37.27,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,23,37.46,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,24,38.02,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,25,38.21,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,0,28.78,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,1,29.310000000000002,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,2,29.82,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,3,30.34,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,4,30.93,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,5,31.580000000000002,-0.0013
83089,0x18712,False,255,2443545,2458538,15,4,6,32.22,-0.0013
83089,0x18712,False,255,2443545,2458538,15,4,7,32.82,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,8,33.38,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,9,33.63,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,10,33.87,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,11,33.93,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,12,34.06,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,13,34.300000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,14,34.49,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,15,34.550000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,16,35.04,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,17,36.25,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,18,36.56,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,19,36.800000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,20,36.93,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,21,37.050000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,22,37.300000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,23,37.49,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,24,38.050000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,25,38.24,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,0,28.66,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,1,29.22,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,2,29.79,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,3,30.37,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,4,30.98,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,5,31.59,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,6,32.2,-0.0012
83089,0x18712,False,255,2443545,2458538,15,4,7,32.79,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,8,33.36,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,9,33.61,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,10,33.86,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,11,33.92,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,12,34.04,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,13,34.29,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,14,34.480000000000004,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,15,34.54,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,16,35.04,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,17,36.29,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,18,36.6,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,19,36.85,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,20,36.97,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,21,37.1,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,22,37.35,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,23,37.53,-0.0011
83089,0x18712,False,255,2443545,2458538,15,4,24,38.08,-0.001
83089,0x18712,False,255,2443545,2458538,15,4,25,38.230000000000004,-0.0008
85101,0x1872c,False,362,1139280,1154273,15,4,0,28.75,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,1,29.330000000000002,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,2,29.900000000000002,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,3,30.48,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,4,31.060000000000002,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,5,31.62,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,6,32.19,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,7,32.76,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,8,33.35,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,9,33.62,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,10,33.89,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,11,33.95,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,12,34.09,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,13,34.35,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,14,34.550000000000004,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,15,34.61,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,16,35.1,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,17,36.17,-0.0009
85101,0x1872c,False,362,1139280,1154273,15,4,18,36.44,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,19,36.67,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,20,36.800000000000004,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,21,36.93,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,22,37.19,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,23,37.39,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,24,38.0,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,25,38.2,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,0,28.82,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,1,29.39,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,2,29.94,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,3,30.5,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,4,31.060000000000002,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,5,31.62,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,6,32.18,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,7,32.730000000000004,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,8,33.3,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,9,33.56,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,10,33.82,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,11,33.89,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,12,34.02,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,13,34.28,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,14,34.480000000000004,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,15,34.54,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,16,35.050000000000004,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,17,36.24,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,18,36.54,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,19,36.78,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,20,36.9,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,21,37.03,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,22,37.27,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,23,37.46,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,24,38.02,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,25,38.21,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,0,28.78,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,1,29.310000000000002,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,2,29.82,-0.001
85101,0x1872c,False,362,1139280,1154273,15,4,3,30.34,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,4,30.93,-0.0012
85101,0x1872c,False,362,1139280,1154273,15,4,5,31.580000000000002,-0.0013
85101,0x1872c,False,362,1139280,1154273,15,4,6,32.22,-0.0013
85101,0x1872c,False,362,1139280,1154273,15,4,7,32.82,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,8,33.38,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,9,33.63,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,10,33.87,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,11,33.93,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,12,34.06,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,13,34.300000000000004,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,14,34.49,-0.0011
85101,0x1872c,False,362,1139280,1154273,15,4,15,34.550000000000004,-0.0011
