logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11420778234354,-117.97832644497471,86.339
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11427894470149,-117.97827908722178,86.574
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.114349939421366,-117.97823131037369,86.828
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11442043122705,-117.97818252769723,87.087
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11449025248049,-117.97813257155431,87.342
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.114559570819736,-117.97808160958301,87.592
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11462855388285,-117.9780298094214,87.838
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11469720166984,-117.97797742252656,88.08
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11476543036168,-117.97792411362238,88.319
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11479552139407,-117.97790014137931,88.425
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11482552860743,-117.97787600149817,88.531
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11483307232029,-117.97786996652788,88.557
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11484799210793,-117.97785781276828,88.61
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11487783168323,-117.97783333761102,88.717
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.114900211364706,-117.97781489742404,88.799
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11490767125853,-117.97780869481568,88.826
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.114966847494934,-117.97775890631084,89.049
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.1151136146195,-117.97763225575389,89.611
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.115150075898306,-117.97760023688376,89.741
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11517916110232,-117.97757450444102,89.847
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11519366179481,-117.97756159631012,89.902
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.1152081624873,-117.97754868817924,89.957
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11523708005325,-117.97752262046038,90.071
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11525878918247,-117.97750300680694,90.158
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11532307837981,-117.97744324383731,90.414
83089,0x1870f,False,255,2443545,2458538,15,5,4295828445,26,34.11534436841387,-117.97742304345067,90.496
83089,0x1870f,False,255,2443545,2458538,15,5,8590795741,26,34.114191772908484,-117.97829098952428,86.214
83089,0x1870f,False,255,2443545,2458538,15,5,8590795741,26,34.114262432352234,-117.97824354795233,86.455
83089,0x1870f,False,255,2443545,2458538,15,5,8590795741,26,34.114332672700826,-117.97819535200908,86.706
