logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,Road Type,Lane_Add_Remove_Type,Accelerating Lane,Decelerating Lane,Lane Type,Crossing Type (only tunnel),Left Change Allowed,Right Change Allowed,距離[m],レーン番号,レーン総数,最高速度情報[kmh],MAP Functional Authority,Functional Authority 3,Functional Authority 2,Functional Authority 1,鮮度情報チェック状態,鮮度情報,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) OSMID,(1) 道路種別,(1) サブリンク種別,(1) 橋・トンネル属性,信号機情報ID数,道路標示情報ID数,標識情報ID数,Lane Line ID数,(1) Lane Line ID,(1) 位置種別,(2) Lane Line ID,(2) 位置種別,Road Edge ID数,(1) Road Edge ID,(2) Road Edge ID,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(1) 標識情報ID,(2) 後方レーンID,(2) OSMID,(2) 道路種別,(2) サブリンク種別,(2) 橋・トンネル属性,(2) 標識情報ID,(3) 標識情報ID
83089,0x1870c,False,255,2443545,2458538,15,4,4295828445,0,8590795741,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,151,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828445,0,8590795741,1,2,861149,4295828445,1,4295828484,1,4295828403.0,,,,,,,,
83089,0x1870c,False,255,2443545,2458538,15,4,8590795741,4295828445,12885763037,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,150,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795741,0,12885763037,1,2,861149,4295828445,1,8590795780,1,8590795699.0,,,,,,,,
83089,0x1870c,False,255,2443545,2458538,15,4,12885763037,8590795741,17180730333,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,150,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885763037,0,17180730333,1,2,861149,4295828445,1,12885763076,1,12885762995.0,,,,,,,,
83089,0x1870c,False,255,2443545,2458538,15,4,17180730333,12885763037,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,149,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730333,0,21475697629,1,2,861149,4295828445,1,17180730372,1,17180730291.0,,,,,,,,
85101,0x18726,False,362,1139280,1154273,15,4,4295828445,0,8590795741,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,151,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828445,0,8590795741,1,2,861149,4295828445,1,4295828484,1,4295828403.0,,,,,,,,
85101,0x18726,False,362,1139280,1154273,15,4,8590795741,4295828445,12885763037,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,150,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795741,0,12885763037,1,2,861149,4295828445,1,8590795780,1,8590795699.0,,,,,,,,
85101,0x18726,False,362,1139280,1154273,15,4,12885763037,8590795741,17180730333,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,150,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885763037,0,17180730333,1,2,861149,4295828445,1,12885763076,1,12885762995.0,,,,,,,,
85101,0x18726,False,362,1139280,1154273,15,4,17180730333,12885763037,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,149,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730333,0,21475697629,1,2,861149,4295828445,1,17180730372,1,17180730291.0,,,,,,,,
134259,0x1879e,False,255,2458538,2463216,15,4,4295828484,0,8590795780,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,47,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828484,0,8590795780,1,2,861188,4295828484,1,4295828258,1,4295828445.0,,,,,,,,
134259,0x1879e,False,255,2458538,2463216,15,4,8590795780,4295828484,12885763076,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,47,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795780,0,12885763076,1,2,861188,4295828484,1,8590795554,1,8590795741.0,,,,,,,,
134259,0x1879e,False,255,2458538,2463216,15,4,12885763076,8590795780,17180730372,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,47,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885763076,0,17180730372,1,2,861188,4295828484,1,12885762850,1,12885763037.0,,,,,,,,
134259,0x1879e,False,255,2458538,2463216,15,4,17180730372,12885763076,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,47,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730372,0,21475697668,1,2,861188,4295828484,1,17180730146,1,17180730333.0,,,,,,,,
136294,0x187bc,False,362,1154273,1158951,15,4,4295828484,0,8590795780,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,47,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828484,0,8590795780,1,2,861188,4295828484,1,4295828258,1,4295828445.0,,,,,,,,
136294,0x187bc,False,362,1154273,1158951,15,4,8590795780,4295828484,12885763076,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,47,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795780,0,12885763076,1,2,861188,4295828484,1,8590795554,1,8590795741.0,,,,,,,,
136294,0x187bc,False,362,1154273,1158951,15,4,12885763076,8590795780,17180730372,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,47,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885763076,0,17180730372,1,2,861188,4295828484,1,12885762850,1,12885763037.0,,,,,,,,
136294,0x187bc,False,362,1154273,1158951,15,4,17180730372,12885763076,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,47,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730372,0,21475697668,1,2,861188,4295828484,1,17180730146,1,17180730333.0,,,,,,,,
155453,0x187da,False,255,2463216,2474835,31,5,4295828258,0,8590795554,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,117,1,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,4295828258,0,8590795554,1,2,860962,4295828258,1,4295828297,1,4295828484.0,1.3152186292850768e+17,,,,,,,
155453,0x187da,False,255,2463216,2474835,31,5,8590795554,4295828258,12885762850,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,117,2,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,8590795554,0,12885762850,1,2,860962,4295828258,1,8590795593,1,8590795780.0,1.3152186292850768e+17,,,,,,,
155453,0x187da,False,255,2463216,2474835,31,5,12885762850,8590795554,17180730146,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,116,3,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,12885762850,0,17180730146,1,2,860962,4295828258,1,12885762889,1,12885763076.0,1.3152186292850768e+17,,,,,,,
155453,0x187da,False,255,2463216,2474835,31,5,17180730146,12885762850,21475697442,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,116,4,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,17180730146,0,25770664738,1,2,860962,4295828258,1,17180730185,1,17180730372.0,1.3152186292850768e+17,,,,,,,
155453,0x187da,False,255,2463216,2474835,31,5,21475697442,17180730146,0,(0) Controlled Access Divided,2,1,0,(1) Normal Driving Lane,0,1,0,115,5,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,21475697442,0,30065632034,1,2,860962,4295828258,1,21475697481,1,4298148226.0,1.3152186292850768e+17,,,,,,,
155594,0x187e5,False,386,0,4394,1,1,4298148226,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,44,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,28315199,0,5,0,0,0,0,2,4298148226,0,8593115522,1,2,3180930,4298148226,1,21475697442,1,4298148224.0,,,,,,,,
155680,0x187ef,False,386,4394,10882,1,1,4298148224,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,65,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,28315199,0,5,0,0,0,0,2,4298148224,0,8593115520,1,2,3180928,4298148224,1,4298148226,1,4298148220.0,,,,,,,,
155920,0x187f9,False,386,10882,19872,1,1,4298148220,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,90,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,28315199,0,5,0,0,0,0,2,4298148220,0,8593115516,1,2,3180924,4298148220,1,4298148224,1,4298148242.0,,,,,,,,
156133,0x18803,False,386,19872,31048,1,1,4298148242,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,112,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,28315199,0,5,0,0,0,0,2,4298148242,0,8593115538,1,2,3180946,4298148242,1,4298148220,1,4297342781.0,,,,,,,,
