logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,幅員情報の配列数,形状要素インデックス,幅員値[m]
83089,0x18714,False,255,2443545,2458538,15,4,0,3.72
83089,0x18714,False,255,2443545,2458538,15,4,1,3.7600000000000002
83089,0x18714,False,255,2443545,2458538,15,4,2,3.83
83089,0x18714,False,255,2443545,2458538,15,4,3,3.89
83089,0x18714,False,255,2443545,2458538,15,4,4,3.91
83089,0x18714,False,255,2443545,2458538,15,4,5,3.9
83089,0x18714,False,255,2443545,2458538,15,4,6,3.88
83089,0x18714,False,255,2443545,2458538,15,4,7,3.86
83089,0x18714,False,255,2443545,2458538,15,4,8,3.84
83089,0x18714,False,255,2443545,2458538,15,4,9,3.8200000000000003
83089,0x18714,False,255,2443545,2458538,15,4,10,3.81
83089,0x18714,False,255,2443545,2458538,15,4,11,3.8000000000000003
83089,0x18714,False,255,2443545,2458538,15,4,12,3.8000000000000003
83089,0x18714,False,255,2443545,2458538,15,4,13,3.79
83089,0x18714,False,255,2443545,2458538,15,4,14,3.79
83089,0x18714,False,255,2443545,2458538,15,4,15,3.79
83089,0x18714,False,255,2443545,2458538,15,4,16,3.7800000000000002
83089,0x18714,False,255,2443545,2458538,15,4,17,3.7600000000000002
83089,0x18714,False,255,2443545,2458538,15,4,18,3.7600000000000002
83089,0x18714,False,255,2443545,2458538,15,4,19,3.77
83089,0x18714,False,255,2443545,2458538,15,4,20,3.7800000000000002
83089,0x18714,False,255,2443545,2458538,15,4,21,3.8000000000000003
83089,0x18714,False,255,2443545,2458538,15,4,22,3.83
83089,0x18714,False,255,2443545,2458538,15,4,23,3.85
83089,0x18714,False,255,2443545,2458538,15,4,24,3.86
83089,0x18714,False,255,2443545,2458538,15,4,25,3.85
83089,0x18714,False,255,2443545,2458538,15,4,0,3.69
83089,0x18714,False,255,2443545,2458538,15,4,1,3.71
83089,0x18714,False,255,2443545,2458538,15,4,2,3.68
83089,0x18714,False,255,2443545,2458538,15,4,3,3.63
83089,0x18714,False,255,2443545,2458538,15,4,4,3.56
83089,0x18714,False,255,2443545,2458538,15,4,5,3.5500000000000003
83089,0x18714,False,255,2443545,2458538,15,4,6,3.58
83089,0x18714,False,255,2443545,2458538,15,4,7,3.64
83089,0x18714,False,255,2443545,2458538,15,4,8,3.66
83089,0x18714,False,255,2443545,2458538,15,4,9,3.64
83089,0x18714,False,255,2443545,2458538,15,4,10,3.63
83089,0x18714,False,255,2443545,2458538,15,4,11,3.63
83089,0x18714,False,255,2443545,2458538,15,4,12,3.62
83089,0x18714,False,255,2443545,2458538,15,4,13,3.62
83089,0x18714,False,255,2443545,2458538,15,4,14,3.62
83089,0x18714,False,255,2443545,2458538,15,4,15,3.62
83089,0x18714,False,255,2443545,2458538,15,4,16,3.63
83089,0x18714,False,255,2443545,2458538,15,4,17,3.63
83089,0x18714,False,255,2443545,2458538,15,4,18,3.64
83089,0x18714,False,255,2443545,2458538,15,4,19,3.64
83089,0x18714,False,255,2443545,2458538,15,4,20,3.64
83089,0x18714,False,255,2443545,2458538,15,4,21,3.64
83089,0x18714,False,255,2443545,2458538,15,4,22,3.64
83089,0x18714,False,255,2443545,2458538,15,4,23,3.63
83089,0x18714,False,255,2443545,2458538,15,4,24,3.63
83089,0x18714,False,255,2443545,2458538,15,4,25,3.64
83089,0x18714,False,255,2443545,2458538,15,4,0,3.71
83089,0x18714,False,255,2443545,2458538,15,4,1,3.7
83089,0x18714,False,255,2443545,2458538,15,4,2,3.71
83089,0x18714,False,255,2443545,2458538,15,4,3,3.72
83089,0x18714,False,255,2443545,2458538,15,4,4,3.71
83089,0x18714,False,255,2443545,2458538,15,4,5,3.67
83089,0x18714,False,255,2443545,2458538,15,4,6,3.64
83089,0x18714,False,255,2443545,2458538,15,4,7,3.64
83089,0x18714,False,255,2443545,2458538,15,4,8,3.68
83089,0x18714,False,255,2443545,2458538,15,4,9,3.7
83089,0x18714,False,255,2443545,2458538,15,4,10,3.72
83089,0x18714,False,255,2443545,2458538,15,4,11,3.73
83089,0x18714,False,255,2443545,2458538,15,4,12,3.73
83089,0x18714,False,255,2443545,2458538,15,4,13,3.73
83089,0x18714,False,255,2443545,2458538,15,4,14,3.72
83089,0x18714,False,255,2443545,2458538,15,4,15,3.72
83089,0x18714,False,255,2443545,2458538,15,4,16,3.69
83089,0x18714,False,255,2443545,2458538,15,4,17,3.71
83089,0x18714,False,255,2443545,2458538,15,4,18,3.71
83089,0x18714,False,255,2443545,2458538,15,4,19,3.71
83089,0x18714,False,255,2443545,2458538,15,4,20,3.71
83089,0x18714,False,255,2443545,2458538,15,4,21,3.71
83089,0x18714,False,255,2443545,2458538,15,4,22,3.7
83089,0x18714,False,255,2443545,2458538,15,4,23,3.7
83089,0x18714,False,255,2443545,2458538,15,4,24,3.71
83089,0x18714,False,255,2443545,2458538,15,4,25,3.72
83089,0x18714,False,255,2443545,2458538,15,4,0,3.5700000000000003
83089,0x18714,False,255,2443545,2458538,15,4,1,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,2,3.48
83089,0x18714,False,255,2443545,2458538,15,4,3,3.49
83089,0x18714,False,255,2443545,2458538,15,4,4,3.54
83089,0x18714,False,255,2443545,2458538,15,4,5,3.59
83089,0x18714,False,255,2443545,2458538,15,4,6,3.61
83089,0x18714,False,255,2443545,2458538,15,4,7,3.5700000000000003
83089,0x18714,False,255,2443545,2458538,15,4,8,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,9,3.52
83089,0x18714,False,255,2443545,2458538,15,4,10,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,11,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,12,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,13,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,14,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,15,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,16,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,17,3.5100000000000002
83089,0x18714,False,255,2443545,2458538,15,4,18,3.52
83089,0x18714,False,255,2443545,2458538,15,4,19,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,20,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,21,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,22,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,23,3.5300000000000002
83089,0x18714,False,255,2443545,2458538,15,4,24,3.52
83089,0x18714,False,255,2443545,2458538,15,4,25,3.52
85101,0x1872e,False,362,1139280,1154273,15,4,0,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,1,3.7600000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,2,3.83
85101,0x1872e,False,362,1139280,1154273,15,4,3,3.89
85101,0x1872e,False,362,1139280,1154273,15,4,4,3.91
85101,0x1872e,False,362,1139280,1154273,15,4,5,3.9
85101,0x1872e,False,362,1139280,1154273,15,4,6,3.88
85101,0x1872e,False,362,1139280,1154273,15,4,7,3.86
85101,0x1872e,False,362,1139280,1154273,15,4,8,3.84
85101,0x1872e,False,362,1139280,1154273,15,4,9,3.8200000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,10,3.81
85101,0x1872e,False,362,1139280,1154273,15,4,11,3.8000000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,12,3.8000000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,13,3.79
85101,0x1872e,False,362,1139280,1154273,15,4,14,3.79
85101,0x1872e,False,362,1139280,1154273,15,4,15,3.79
85101,0x1872e,False,362,1139280,1154273,15,4,16,3.7800000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,17,3.7600000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,18,3.7600000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,19,3.77
85101,0x1872e,False,362,1139280,1154273,15,4,20,3.7800000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,21,3.8000000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,22,3.83
85101,0x1872e,False,362,1139280,1154273,15,4,23,3.85
85101,0x1872e,False,362,1139280,1154273,15,4,24,3.86
85101,0x1872e,False,362,1139280,1154273,15,4,25,3.85
85101,0x1872e,False,362,1139280,1154273,15,4,0,3.69
85101,0x1872e,False,362,1139280,1154273,15,4,1,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,2,3.68
85101,0x1872e,False,362,1139280,1154273,15,4,3,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,4,3.56
85101,0x1872e,False,362,1139280,1154273,15,4,5,3.5500000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,6,3.58
85101,0x1872e,False,362,1139280,1154273,15,4,7,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,8,3.66
85101,0x1872e,False,362,1139280,1154273,15,4,9,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,10,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,11,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,12,3.62
85101,0x1872e,False,362,1139280,1154273,15,4,13,3.62
85101,0x1872e,False,362,1139280,1154273,15,4,14,3.62
85101,0x1872e,False,362,1139280,1154273,15,4,15,3.62
85101,0x1872e,False,362,1139280,1154273,15,4,16,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,17,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,18,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,19,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,20,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,21,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,22,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,23,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,24,3.63
85101,0x1872e,False,362,1139280,1154273,15,4,25,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,0,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,1,3.7
85101,0x1872e,False,362,1139280,1154273,15,4,2,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,3,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,4,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,5,3.67
85101,0x1872e,False,362,1139280,1154273,15,4,6,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,7,3.64
85101,0x1872e,False,362,1139280,1154273,15,4,8,3.68
85101,0x1872e,False,362,1139280,1154273,15,4,9,3.7
85101,0x1872e,False,362,1139280,1154273,15,4,10,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,11,3.73
85101,0x1872e,False,362,1139280,1154273,15,4,12,3.73
85101,0x1872e,False,362,1139280,1154273,15,4,13,3.73
85101,0x1872e,False,362,1139280,1154273,15,4,14,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,15,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,16,3.69
85101,0x1872e,False,362,1139280,1154273,15,4,17,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,18,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,19,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,20,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,21,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,22,3.7
85101,0x1872e,False,362,1139280,1154273,15,4,23,3.7
85101,0x1872e,False,362,1139280,1154273,15,4,24,3.71
85101,0x1872e,False,362,1139280,1154273,15,4,25,3.72
85101,0x1872e,False,362,1139280,1154273,15,4,0,3.5700000000000003
85101,0x1872e,False,362,1139280,1154273,15,4,1,3.5100000000000002
85101,0x1872e,False,362,1139280,1154273,15,4,2,3.48
85101,0x1872e,False,362,1139280,1154273,15,4,3,3.49
85101,0x1872e,False,362,1139280,1154273,15,4,4,3.54
