logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,勾配情報のレーン数,形状インデックス,縦断勾配値[deg],横断勾配値[deg]
83089,0x18713,False,255,2443545,2458538,15,4,0,1.49,-1.9100000000000001
83089,0x18713,False,255,2443545,2458538,15,4,1,1.56,-1.8
83089,0x18713,False,255,2443545,2458538,15,4,2,1.6300000000000001,-1.81
83089,0x18713,False,255,2443545,2458538,15,4,3,1.56,-1.98
83089,0x18713,False,255,2443545,2458538,15,4,4,1.57,-2.24
83089,0x18713,False,255,2443545,2458538,15,4,5,1.61,-2.22
83089,0x18713,False,255,2443545,2458538,15,4,6,1.56,-2.06
83089,0x18713,False,255,2443545,2458538,15,4,7,1.51,-2.09
83089,0x18713,False,255,2443545,2458538,15,4,8,1.5,-2.17
83089,0x18713,False,255,2443545,2458538,15,4,9,1.51,-2.19
83089,0x18713,False,255,2443545,2458538,15,4,10,1.52,-2.19
83089,0x18713,False,255,2443545,2458538,15,4,11,1.53,-2.19
83089,0x18713,False,255,2443545,2458538,15,4,12,1.53,-2.18
83089,0x18713,False,255,2443545,2458538,15,4,13,1.56,-2.15
83089,0x18713,False,255,2443545,2458538,15,4,14,1.57,-2.13
83089,0x18713,False,255,2443545,2458538,15,4,15,1.58,-2.12
83089,0x18713,False,255,2443545,2458538,15,4,16,1.6300000000000001,-2.09
83089,0x18713,False,255,2443545,2458538,15,4,17,1.49,-2.29
83089,0x18713,False,255,2443545,2458538,15,4,18,1.5,-2.29
83089,0x18713,False,255,2443545,2458538,15,4,19,1.57,-2.2600000000000002
83089,0x18713,False,255,2443545,2458538,15,4,20,1.61,-2.23
83089,0x18713,False,255,2443545,2458538,15,4,21,1.6400000000000001,-2.19
83089,0x18713,False,255,2443545,2458538,15,4,22,1.67,-2.12
83089,0x18713,False,255,2443545,2458538,15,4,23,1.67,-2.07
83089,0x18713,False,255,2443545,2458538,15,4,24,1.54,-2.09
83089,0x18713,False,255,2443545,2458538,15,4,25,1.52,-2.14
83089,0x18713,False,255,2443545,2458538,15,4,0,1.54,-2.7
83089,0x18713,False,255,2443545,2458538,15,4,1,1.6,-2.59
83089,0x18713,False,255,2443545,2458538,15,4,2,1.6300000000000001,-2.5300000000000002
83089,0x18713,False,255,2443545,2458538,15,4,3,1.54,-2.45
83089,0x18713,False,255,2443545,2458538,15,4,4,1.54,-2.36
83089,0x18713,False,255,2443545,2458538,15,4,5,1.59,-2.56
83089,0x18713,False,255,2443545,2458538,15,4,6,1.54,-2.85
83089,0x18713,False,255,2443545,2458538,15,4,7,1.51,-2.89
83089,0x18713,False,255,2443545,2458538,15,4,8,1.55,-2.72
83089,0x18713,False,255,2443545,2458538,15,4,9,1.56,-2.61
83089,0x18713,False,255,2443545,2458538,15,4,10,1.56,-2.5300000000000002
83089,0x18713,False,255,2443545,2458538,15,4,11,1.56,-2.5100000000000002
83089,0x18713,False,255,2443545,2458538,15,4,12,1.56,-2.5
